Epoch,Batch Time,Data Time,Loss,Prec@1,Prec@5,lr
8,2.2,0.08,0.93793,73.4613,93.5305,0.01
9,2.179,0.061,0.87004,75.6422,94.1701,0.01
10,2.199,0.076,0.81769,77.0368,94.6943,0.01
11,2.202,0.078,0.56027,83.5693,96.8963,0.001
12,2.201,0.081,0.46344,86.7044,97.4101,0.001
13,2.206,0.085,0.44141,87.6167,97.3052,0.001
14,2.188,0.066,0.40918,88.1095,97.8295,0.001
15,2.198,0.074,0.37741,89.3258,98.1441,0.001
16,2.193,0.069,0.38147,89.0112,98.1546,0.001
17,2.201,0.075,0.34953,90.0388,98.207,0.001
18,2.199,0.077,0.34641,89.9235,98.3643,0.001
19,2.183,0.061,0.32868,90.7938,98.5425,0.001
20,2.205,0.081,0.29979,91.6536,98.574,0.0001
21,2.204,0.08,0.3146,91.2027,98.5635,0.0001
22,2.201,0.076,0.31093,91.0978,98.6474,0.0001
23,2.204,0.081,0.3089,91.0873,98.7417,0.0001
24,2.202,0.078,0.3068,91.664,98.4796,0.0001
25,2.197,0.073,0.31065,91.2761,98.532,0.0001
0,2.323,0.061,3.7158,13.694,34.665,0.01
1,2.177,0.062,2.45045,36.2588,69.0364,0.01
2,2.196,0.084,1.94581,48.7784,79.7001,0.01
3,2.185,0.068,1.67092,55.94,83.9048,0.01
4,2.194,0.069,1.48208,60.6795,86.673,0.01
5,2.178,0.057,1.34215,63.2379,88.7386,0.01
6,2.188,0.072,1.23227,66.3731,89.892,0.01
7,2.183,0.065,1.08943,70.1374,91.8318,0.01
8,2.19,0.072,1.04259,70.8294,92.3246,0.01
9,2.198,0.081,0.95998,73.2411,93.2998,0.01
10,2.188,0.07,0.90664,74.7405,94.0233,0.01
11,2.198,0.084,0.85499,75.8624,94.0757,0.01
12,2.188,0.073,0.59848,82.9611,96.4664,0.001
13,2.194,0.078,0.46172,86.9246,97.5149,0.001
14,2.19,0.074,0.46094,86.7883,97.3786,0.001
15,2.196,0.079,0.42627,87.9102,97.7561,0.001
16,2.198,0.081,0.40197,88.3821,98.0392,0.001
17,2.191,0.072,0.4104,88.0361,97.6617,0.001
18,2.192,0.075,0.39301,88.8959,98.0078,0.001
19,2.181,0.063,0.3762,89.3677,98.2175,0.001
20,2.193,0.075,0.34714,90.1332,98.2489,0.0001
21,2.19,0.071,0.3403,90.238,98.3748,0.0001
22,2.182,0.066,0.34389,90.3114,98.3014,0.0001
